forecast_id,weather_state_name,weather_state_abbr,wind_direction_compass,created,applicable_date,min_temp,max_temp,the_temp,wind_speed,wind_direction,air_pressure,humidity,visibility,predictability,woeid
4806413932036096,Light Cloud,lc,WNW,2021-06-01T06:32:13.440284Z,2021-06-09,14.65,25.12,24.27,2.0380975105384556,294,1021,37,null,70,44418,
4811858876825600,Heavy Cloud,hc,ENE,2021-06-05T18:43:46.161104Z,2021-06-10,13.19,23.19,20.44,5.150413783504335,73.50000000000001,1015,42,9.999726596675416,71,2122265,
4812994493022208,Light Rain,lr,ENE,2021-06-06T06:43:43.079813Z,2021-06-10,13.65,23.2,21.225,4.439821241559957,77.1465166052927,1011.5,60,12.583077328402132,75,2122265,
4814942126473216,Heavy Rain,hr,W,2021-06-07T06:43:52.285188Z,2021-06-14,16.145,24.055,18.76,4.166192038495188,263.5,1012,76,9.999726596675416,77,2122265,
4816051838648320,Heavy Cloud,hc,SSE,2021-06-06T18:43:52.075015Z,2021-06-13,16.17,25.494999999999997,25.99,3.4522544341048276,160,1013,56,9.627525252525253,71,2122265,
4816454491832320,Showers,s,SSE,2021-06-07T03:43:49.666379Z,2021-06-13,15.815,25.88,23.33,3.058224170842281,159,1006,51,9.999726596675416,73,2122265,
4816575858212864,Light Rain,lr,NE,2021-06-05T12:43:40.745925Z,2021-06-08,14.365,24.71,22.095,4.7199568001246055,50.32192997875896,1013,60,15.035008052970651,75,2122265,
4818752701988864,Heavy Cloud,hc,WSW,2021-06-05T18:32:01.472700Z,2021-06-09,13.38,22.955,20.64,4.726338549415414,242.05794639384376,1022.5,57,14.75321621729102,71,44418,
4826848715341824,Showers,s,E,2021-06-04T12:43:46.793951Z,2021-06-09,15.025,23.42,19.22,5.601587329992841,94,1015,53,9.999726596675416,73,2122265,
4827733075951616,Heavy Cloud,hc,E,2021-06-03T09:43:49.269435Z,2021-06-09,13.85,23.92,20.65,4.2571679392348685,91,1019,53,9.999726596675416,71,2122265,
4829279700385792,Showers,s,ENE,2021-06-05T15:43:49.160942Z,2021-06-11,13.545,22.994999999999997,21.19,4.065895569871948,69.5,1016,42,9.659215183329357,73,2122265,
4829543270449152,Light Cloud,lc,W,2021-06-06T00:32:02.061467Z,2021-06-08,12.015,23.49,22.325,4.424696928897903,263.60754131614846,1023.5,48,13.011512765449773,70,44418,
4832879554068480,Heavy Cloud,hc,SSE,2021-06-03T12:43:54.989344Z,2021-06-11,13.74,23.89,22.63,2.777529229300882,162,1019,45,null,71,2122265,
4834914697478144,Light Rain,lr,SE,2021-06-03T21:32:11.554370Z,2021-06-10,12.925,23.905,22.86,3.436615167422254,130.50000000000003,1019,53,9.999726596675416,75,44418,
4836018470518784,Showers,s,NNW,2021-06-06T06:35:57.957912Z,2021-06-08,16.285,26.22,24.195,3.981221432471699,346.72105270214973,1020.5,47,13.290508430764335,73,638242,
